msa,violentcrime,murder,rape,robbery,aggravatedassault,propertycrime,burglary,theft,motorvehicletheft,state,city
"Abilene, TX M.S.A.",412.5,5.3,56.0,78.4,272.8,3609.0,852.0,2493.6,263.4,TX,Abilene
"Akron, OH M.S.A.",238.4,5.1,38.2,75.2,119.8,2552.4,575.3,1853.0,124.1,OH,Akron
"Albany, GA M.S.A.",667.9,7.8,30.4,157.9,471.8,3894.1,1099.6,2652.8,141.7,GA,Albany
"Albany, OR M.S.A.",114.3,2.5,28.2,20.7,63.0,3208.4,484.6,2476.1,247.7,OR,Albany
"Albuquerque, NM M.S.A.",792.6,6.1,63.8,206.7,516.0,4607.8,883.4,3047.6,676.9,NM,Albuquerque
"Alexandria, LA M.S.A.",936.4,4.5,35.5,120.1,776.3,4565.9,1167.0,3083.7,315.2,LA,Alexandria
"Altoona, PA M.S.A.",216.5,0.8,28.7,25.5,161.6,1430.2,218.9,1163.6,47.8,PA,Altoona
"Amarillo, TX M.S.A.",538.7,3.4,72.0,107.1,356.1,3827.4,763.2,2743.2,321.0,TX,Amarillo
"Ames, IA M.S.A.",158.5,1.0,47.2,19.9,90.3,1848.3,311.7,1462.0,74.5,IA,Ames
"Anchorage, AK M.S.A.",1039.5,8.2,165.6,199.1,666.6,4030.1,554.9,3087.5,387.7,AK,Anchorage
"Ann Arbor, MI M.S.A.",319.5,1.9,57.0,51.4,209.2,1791.9,290.4,1417.4,84.2,MI,Ann Arbor
"Anniston-Oxford-Jacksonville, AL M.S.A.",699.3,8.7,53.9,86.0,550.7,3295.8,1012.9,2160.4,122.5,AL,Oxford
"Appleton, WI M.S.A.",138.8,0.4,24.1,8.6,105.7,1394.9,206.6,1154.7,33.5,WI,Appleton
"Asheville, NC M.S.A.",202.0,2.7,19.5,50.2,129.7,2158.8,592.6,1436.6,129.7,NC,Asheville
"Athens-Clarke County, GA M.S.A.",325.7,2.5,41.3,67.7,214.2,3105.5,675.4,2272.7,157.4,GA,Athens
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",401.0,6.2,21.4,151.7,221.7,3069.8,629.4,2113.2,327.2,GA,Atlanta
"Atlantic City-Hammonton, NJ M.S.A.2",414.0,6.9,21.1,187.0,199.0,2817.3,525.0,2210.1,82.2,NJ,West Atlantic City
"Austin-Round Rock, TX M.S.A.2",287.7,2.2,44.9,61.2,179.4,2672.8,415.7,2096.8,160.2,TX,Austin
"Bakersfield, CA M.S.A.",556.3,7.3,32.2,130.2,386.6,3439.3,954.3,1881.1,603.9,CA,Bakersfield
"Baltimore-Columbia-Towson, MD M.S.A.",624.7,13.1,29.8,239.0,342.8,2625.0,517.6,1823.0,284.4,MD,Baltimore
"Bangor, ME M.S.A.",67.3,2.0,9.1,17.6,38.5,1984.5,337.0,1604.4,43.1,ME,Bangor
"Barnstable Town, MA M.S.A.",518.7,1.4,49.4,28.9,439.1,1722.5,475.9,1170.7,75.9,MA,
"Baton Rouge, LA M.S.A.",478.9,11.1,33.9,140.9,293.1,3499.4,780.0,2586.6,132.8,LA,Baton Rouge
"Battle Creek, MI M.S.A.",559.3,3.0,104.0,60.9,391.4,2838.6,744.2,2000.8,93.6,MI,Battle Creek
"Bay City, MI M.S.A.",283.4,0.0,80.3,36.8,166.3,2100.4,497.0,1520.2,83.1,MI,Bay City
"Beaumont-Port Arthur, TX M.S.A.",522.2,6.9,42.5,121.0,351.8,2818.0,783.5,1865.8,168.7,TX,Beaumont
"Beckley, WV M.S.A.",440.3,6.5,40.8,84.8,308.2,3027.0,826.9,2059.0,141.1,WV,Beckley
"Bellingham, WA M.S.A.",195.4,2.8,42.7,29.9,120.0,2960.8,539.2,2293.5,128.1,WA,Bellingham
"Bend-Redmond, OR M.S.A.",176.8,1.7,38.3,18.9,117.9,2364.1,299.3,1967.5,97.3,OR,Bend
"Billings, MT M.S.A.",361.0,5.9,48.5,44.4,262.2,3694.3,465.8,2695.9,532.7,MT,Billings
"Binghamton, NY M.S.A.",274.7,2.8,71.6,62.7,137.6,2534.1,410.7,2070.9,52.5,NY,Binghamton
"Birmingham-Hoover, AL M.S.A.",682.0,11.1,46.2,157.7,467.1,3344.9,817.6,2262.0,265.3,AL,Birmingham
"Bismarck, ND M.S.A.",227.1,3.1,37.1,13.1,173.8,1667.6,188.5,1320.1,159.1,ND,Bismarck
"Bloomington, IL M.S.A.",252.0,0.0,61.8,32.0,158.2,1668.6,322.2,1278.3,68.1,IL,Bloomington
"Bloomington, IN M.S.A.",277.7,1.8,44.8,47.2,183.9,2557.1,492.5,1907.3,157.3,IN,Bloomington
"Bloomsburg-Berwick, PA M.S.A",152.7,1.2,22.2,7.0,122.4,1325.8,240.2,1057.6,28.0,PA,Bloomsburg
"Boise City, ID M.S.A.",233.9,1.8,49.3,13.7,169.1,1725.3,315.3,1286.4,123.6,ID,Boise
"Boulder, CO M.S.A.3",,0.9,67.4,22.6,,2134.8,331.0,1689.0,114.7,CO,Boulder
"Bowling Green, KY M.S.A.",173.4,0.6,44.2,52.0,76.5,2405.6,477.2,1784.9,143.5,KY,Bowling Green
"Bremerton-Silverdale, WA M.S.A.",255.7,3.1,46.9,37.1,168.5,2746.5,567.0,1984.0,195.5,WA,Bremerton
"Bridgeport-Stamford-Norwalk, CT M.S.A.",201.5,2.5,21.8,76.9,100.3,1473.2,236.6,1090.9,145.7,CT,Bridgeport
"Brownsville-Harlingen, TX M.S.A.",299.8,1.6,44.3,61.5,192.4,3229.7,567.9,2589.0,72.8,TX,Brownsville
"Brunswick, GA M.S.A.",358.2,2.6,26.0,83.9,245.7,3337.5,827.2,2321.6,188.6,GA,Brunswick
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",401.8,4.4,33.1,132.8,231.5,2413.5,474.4,1805.7,133.4,NY,Buffalo
"Burlington, NC M.S.A.",395.3,5.1,19.8,64.4,306.1,2475.9,708.4,1666.1,101.4,NC,Burlington
"Burlington-South Burlington, VT M.S.A.",128.5,0.9,23.0,21.7,82.9,1955.4,375.4,1564.3,15.7,VT,Burlington
"California-Lexington Park, MD M.S.A.",266.1,0.9,18.0,45.8,201.4,2055.1,490.0,1503.1,62.0,MD,California
"Canton-Massillon, OH M.S.A.",323.7,3.2,43.6,91.1,185.9,2568.2,652.4,1799.4,116.3,OH,Canton
"Cape Coral-Fort Myers, FL M.S.A.",356.1,4.4,29.5,80.9,241.3,1801.2,407.0,1270.8,123.4,FL,Cape Coral
"Cape Girardeau, MO-IL M.S.A.",447.4,3.1,46.8,69.1,328.4,2939.6,602.0,2176.0,161.7,MO,Cape Girardeau
"Carson City, NV M.S.A.",314.7,1.8,3.7,36.6,272.6,1829.7,336.7,1341.2,151.9,NV,Carson City
"Casper, WY M.S.A.",234.3,1.2,39.9,26.6,166.7,2513.4,402.2,1984.4,126.8,WY,Casper
"Cedar Rapids, IA M.S.A.",189.5,3.0,18.8,43.7,123.9,2350.4,532.3,1681.7,136.4,IA,Cedar Rapids
"Chambersburg-Waynesboro, PA M.S.A.",159.5,2.0,37.8,43.0,76.8,1619.8,307.3,1233.1,79.4,PA,Chambersburg
"Charleston, WV M.S.A.",530.3,8.1,52.9,93.1,376.1,3597.1,783.4,2533.8,279.8,WV,Charleston
"Charleston-North Charleston, SC M.S.A.",399.0,8.5,39.0,77.1,274.4,2860.1,546.0,2081.4,232.6,SC,Charleston
"Charlottesville, VA M.S.A.",164.6,1.3,35.5,31.5,96.3,1514.5,252.2,1199.2,63.0,VA,Charlottesville
"Chattanooga, TN-GA M.S.A.",529.9,5.8,36.1,81.1,406.9,3418.3,662.9,2476.1,279.3,TN,Chattanooga
"Cheyenne, WY M.S.A.",177.4,7.2,17.5,9.3,143.4,2581.9,443.6,1997.0,141.3,WY,Cheyenne
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.",377.6,7.1,30.8,137.1,202.6,2013.9,328.9,1520.2,164.8,IL,Chicago
"Chicago-Naperville-Arlington Heights, IL M.D.",430.3,7.7,32.8,160.8,228.9,2077.3,339.2,1554.1,183.9,IL,Chicago
"Elgin, IL M.D.",189.4,1.6,28.5,37.2,122.0,1342.2,188.1,1112.0,42.1,IL,Elgin
"Gary, IN M.D.",268.9,11.9,19.3,91.7,146.0,2560.7,440.2,1916.3,204.2,IN,Gary
"Lake County-Kenosha County, IL-WI M.D.",158.9,2.2,24.0,46.9,85.9,1527.6,254.9,1212.2,60.5,IL,Kenosha
"Chico, CA M.S.A.",345.6,3.1,52.4,65.3,224.8,3350.4,843.5,2086.3,420.6,CA,Chico
"Cincinnati, OH-KY-IN M.S.A.",259.4,4.6,37.2,104.4,113.1,2781.0,576.7,2077.8,126.5,OH,Cincinnati
"Clarksville, TN-KY M.S.A.",404.7,6.0,34.7,48.8,315.2,2410.7,488.2,1815.0,107.5,TN,Clarksville
"Cleveland, TN M.S.A.",483.1,6.6,25.7,40.6,410.2,3323.9,615.7,2462.0,246.1,TN,Cleveland
"Coeur d'Alene, ID M.S.A.",259.6,1.3,45.4,22.0,190.9,2176.1,465.8,1592.9,117.4,ID,Coeur d'Alene
"College Station-Bryan, TX M.S.A.",315.5,4.5,59.9,46.2,204.9,2544.7,451.9,1982.6,110.1,TX,College Station
"Colorado Springs, CO M.S.A.",359.3,3.7,66.0,58.1,231.5,2849.9,432.9,2135.2,281.7,CO,Colorado Springs
"Columbia, MO M.S.A.",430.2,3.4,53.6,90.2,283.0,2684.6,582.6,1933.7,168.3,MO,Columbia
"Columbia, SC M.S.A.",650.6,6.9,49.7,99.3,494.7,3464.0,627.8,2466.4,369.8,SC,Columbia
"Columbus, GA-AL M.S.A.",468.7,6.9,37.3,195.3,229.2,4340.7,1019.8,2914.0,406.9,GA,Columbus
"Columbus, IN M.S.A.",108.6,1.2,33.3,24.7,49.4,3286.7,459.1,2582.0,245.6,IN,Columbus
"Columbus, OH M.S.A.2",298.0,4.7,56.9,134.7,101.7,2869.3,588.6,2082.9,197.8,OH,Columbus
"Corpus Christi, TX M.S.A.",605.4,5.1,74.6,95.5,430.1,3370.5,697.4,2521.4,151.7,TX,Corpus Christi
"Corvallis, OR M.S.A.",117.2,2.3,40.2,19.5,55.1,2643.6,358.5,2195.5,89.6,OR,Corvallis
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",371.7,4.9,34.7,36.6,295.5,2374.2,469.3,1800.8,104.0,FL,Fort Walton Beach
"Cumberland, MD-WV M.S.A.",275.2,4.0,33.1,61.3,176.8,2732.0,591.6,2068.1,72.3,MD,Cumberland
"Dallas-Fort Worth-Arlington, TX M.S.A.2",337.6,4.0,41.3,112.4,179.8,2554.3,503.1,1792.5,258.7,TX,Dallas
"Dallas-Plano-Irving, TX M.D.",330.6,4.4,38.5,129.7,158.1,2434.0,495.6,1647.9,290.5,TX,Dallas
"Fort Worth-Arlington, TX M.D.2",351.2,3.4,46.8,78.6,222.4,2790.9,517.8,2077.0,196.2,TX,Fort Worth
"Dalton, GA M.S.A.",265.8,2.1,32.1,20.2,211.4,2767.4,618.8,1986.1,162.5,GA,Dalton
"Danville, IL M.S.A.",780.3,0.0,121.4,122.7,536.2,3664.8,1244.4,2290.2,130.3,IL,Danville
"Daphne-Fairhope-Foley, AL M.S.A.",195.3,1.5,21.5,36.7,135.6,2064.5,357.4,1627.3,79.8,AL,Daphne
"Davenport-Moline-Rock Island, IA-IL M.S.A.",386.1,2.6,58.7,65.2,259.6,2510.3,492.8,1883.7,133.8,IA,Davenport
"Dayton, OH M.S.A.",305.4,4.6,58.5,114.1,128.2,2919.1,710.0,2028.2,181.0,OH,Dayton
"Decatur, AL M.S.A.",221.4,3.9,24.2,37.3,155.9,2354.9,573.8,1631.7,149.4,AL,Decatur
"Decatur, IL M.S.A.",400.0,5.6,38.1,117.2,239.1,2618.7,671.7,1869.8,77.2,IL,Decatur
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",449.0,3.9,29.0,61.5,354.6,2861.8,517.4,2152.7,191.7,FL,Daytona Beach
"Denver-Aurora-Lakewood, CO M.S.A.3, 4",362.3,3.8,63.6,84.8,210.0,,,,388.3,CO,Denver
"Des Moines-West Des Moines, IA M.S.A.",367.5,3.4,37.3,54.0,272.8,2349.8,525.3,1609.6,215.0,IA,Des Moines
"Detroit-Warren-Dearborn, MI M.S.A.",498.1,8.9,45.4,120.7,323.0,2008.4,425.3,1326.5,256.6,MI,Detroit
"Detroit-Dearborn-Livonia, MI M.D.",901.5,19.3,57.2,247.0,577.9,2935.8,700.9,1769.3,465.7,MI,Detroit
"Warren-Troy-Farmington Hills, MI M.D.",220.6,1.6,37.4,33.9,147.7,1371.0,235.8,1022.4,112.8,MI,Warren
"Dothan, AL M.S.A.",349.6,3.4,35.7,49.9,260.7,2554.0,641.4,1771.8,140.8,AL,Dothan
"Dover, DE M.S.A.",471.0,6.3,49.9,67.6,347.2,2598.5,366.1,2151.6,80.8,DE,Dover
"Dubuque, IA M.S.A.",186.5,5.2,33.0,28.9,119.5,2294.7,721.3,1499.2,74.2,IA,Dubuque
"Duluth, MN-WI M.S.A.",242.8,1.4,54.3,29.3,157.8,3171.0,558.8,2452.6,159.6,MN,Duluth
"East Stroudsburg, PA M.S.A.",191.1,1.2,36.9,62.3,90.7,2264.1,511.0,1696.3,56.8,PA,East Stroudsburg
"Eau Claire, WI M.S.A.",129.1,0.0,21.1,12.1,95.9,1669.1,278.7,1305.4,85.1,WI,Eau Claire
"El Centro, CA M.S.A.",414.9,1.1,16.1,72.8,324.9,3457.8,773.2,2330.7,353.8,CA,El Centro
"Elizabethtown-Fort Knox, KY M.S.A.",104.7,3.3,22.4,21.1,58.0,1232.2,272.0,904.2,56.0,KY,Elizabethtown
"Elkhart-Goshen, IN M.S.A.",400.1,2.0,24.6,63.6,309.9,1992.4,422.2,1398.7,171.5,IN,Elkhart
"Elmira, NY M.S.A.",182.1,2.3,30.9,48.1,100.8,1996.4,315.0,1635.6,45.8,NY,Elmira
"El Paso, TX M.S.A.",354.3,2.7,43.7,52.6,255.3,1825.1,220.8,1491.7,112.6,TX,El Paso
"Enid, OK M.S.A.",284.0,1.6,48.6,31.4,202.4,3163.0,731.1,2304.8,127.1,OK,Enid
"Erie, PA M.S.A.",234.4,4.0,33.8,61.6,135.0,2052.0,444.6,1540.8,66.6,PA,Erie
"Eugene, OR M.S.A.",329.7,3.6,43.1,56.6,226.4,3285.8,548.6,2498.8,238.3,OR,Eugene
"Evansville, IN-KY M.S.A.",336.6,2.5,34.8,80.4,218.8,2872.4,521.3,2188.0,163.1,IN,Evansville
"Fairbanks, AK M.S.A.",484.7,2.9,45.9,77.4,358.5,3946.4,458.9,3146.2,341.3,AK,Fairbanks
"Fargo, ND-MN M.S.A.",249.3,2.6,49.8,27.9,169.1,2403.4,451.8,1766.2,185.4,ND,Fargo
"Farmington, NM M.S.A.",443.0,4.1,91.9,45.1,301.9,2213.3,405.3,1631.7,176.4,NM,Farmington
"Flagstaff, AZ M.S.A.",362.6,2.2,61.3,36.0,263.1,2792.3,287.6,2441.3,63.4,AZ,Flagstaff
"Flint, MI M.S.A.",581.4,12.9,64.6,107.5,396.3,2485.7,707.2,1632.9,145.6,MI,Flint
"Florence-Muscle Shoals, AL M.S.A.",305.0,1.4,36.6,40.0,227.1,2442.4,588.4,1681.8,172.2,AL,Florence
"Fond du Lac, WI M.S.A.",214.3,1.0,51.1,12.8,149.4,1380.2,179.9,1146.3,54.1,WI,Fond du Lac
"Fort Collins, CO M.S.A.",199.1,2.1,27.4,21.1,148.4,2229.0,281.4,1819.4,128.2,CO,Fort Collins
"Fort Smith, AR-OK M.S.A.",446.0,3.2,46.9,52.3,343.6,3377.0,728.8,2476.4,171.8,AR,Fort Smith
"Fort Wayne, IN M.S.A.",288.0,6.5,30.5,122.2,128.8,2328.3,434.7,1782.3,111.3,IN,Fort Wayne
"Fresno, CA M.S.A.",537.3,6.1,32.5,136.9,361.8,3439.4,751.3,2196.6,491.5,CA,Fresno
"Gadsden, AL M.S.A.",532.3,3.9,63.0,83.4,382.0,3998.7,878.5,2848.7,271.5,AL,Gadsden
"Gainesville, FL M.S.A.",582.9,1.4,67.9,116.9,396.7,2790.5,473.6,2159.5,157.4,FL,Gainesville
"Gainesville, GA M.S.A.",188.8,2.6,22.2,35.6,128.4,1845.1,373.5,1328.8,142.9,GA,Gainesville
"Gettysburg, PA M.S.A.",135.6,0.0,34.4,13.8,87.5,983.9,243.8,705.7,34.4,PA,Gettysburg
"Glens Falls, NY M.S.A.4",170.5,0.8,67.9,9.5,92.4,,173.7,,21.3,NY,Glens Falls
"Goldsboro, NC M.S.A.",494.3,8.8,3.2,106.6,375.7,3604.3,1099.2,2337.7,167.4,NC,Goldsboro
"Grand Forks, ND-MN M.S.A.",243.8,2.9,60.5,26.3,154.1,2108.0,304.2,1655.6,148.2,ND,Grand Forks
"Grand Island, NE M.S.A.",215.2,0.0,59.6,15.2,140.3,2185.8,364.9,1699.3,121.6,NE,Grand Island
"Grand Junction, CO M.S.A.",327.6,1.3,85.1,25.5,215.7,2828.8,448.2,2209.7,170.9,CO,Grand Junction
"Grand Rapids-Wyoming, MI M.S.A.",329.0,1.7,75.1,59.8,192.3,1618.2,301.4,1236.4,80.4,MI,Grand Rapids
"Grants Pass, OR M.S.A.",243.2,8.3,30.8,42.7,161.3,2829.1,503.0,1959.6,366.5,OR,Grants Pass
"Great Falls, MT M.S.A.",250.6,7.3,23.0,35.1,185.2,3487.1,461.2,2856.5,169.5,MT,Great Falls
"Greeley, CO M.S.A.",270.6,1.8,47.0,25.3,196.5,1695.9,300.4,1260.7,134.8,CO,Greeley
"Green Bay, WI M.S.A.",196.6,1.3,25.0,24.7,145.7,1453.9,217.8,1177.3,58.8,WI,Green Bay
"Greensboro-High Point, NC M.S.A.",398.2,5.6,21.1,114.9,256.5,2968.6,760.0,2071.6,137.0,NC,Greensboro
"Greenville, NC M.S.A.",433.9,7.9,31.1,97.2,297.8,2817.8,687.1,2055.0,75.7,NC,Greenville
"Gulfport-Biloxi-Pascagoula, MS M.S.A.",233.3,6.7,36.8,67.1,122.7,3707.4,828.1,2665.8,213.5,MS,Gulfport
"Hagerstown-Martinsburg, MD-WV M.S.A.",260.7,4.2,20.7,68.1,167.7,2123.7,494.9,1515.0,113.7,MD,Hagerstown
"Hammond, LA M.S.A.",769.4,3.9,43.7,141.9,580.0,4770.9,1374.3,3086.2,310.3,LA,Hammond
"Hanford-Corcoran, CA M.S.A.",463.9,3.3,41.4,68.8,350.3,2607.6,532.7,1713.2,361.6,CA,Hanford
"Harrisonburg, VA M.S.A.",145.8,0.8,36.5,11.4,97.2,1555.7,302.3,1200.9,52.4,VA,Harrisonburg
"Hartford-West Hartford-East Hartford, CT M.S.A.",252.8,4.4,22.5,94.7,131.2,2175.4,325.4,1637.0,213.0,CT,Hartford
"Hattiesburg, MS M.S.A.",157.7,4.0,23.4,32.7,97.6,3024.9,790.6,2162.8,71.5,MS,Hattiesburg
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",349.4,13.5,44.3,73.3,218.3,2403.8,497.8,1770.5,135.4,SC,Bluffton
"Hinesville, GA M.S.A.",304.4,1.2,10.7,60.9,231.6,2270.3,490.6,1656.8,122.9,GA,
"Homosassa Springs, FL M.S.A.",308.7,1.4,35.8,28.6,242.8,1438.8,301.5,1055.6,81.6,FL,Spring
"Houma-Thibodaux, LA M.S.A.",446.1,8.0,26.4,60.9,350.7,3443.6,651.9,2643.9,147.8,LA,Houma
"Houston-The Woodlands-Sugar Land, TX M.S.A.3",566.6,6.9,37.3,228.9,293.5,,596.8,,367.2,TX,Houston
"Huntsville, AL M.S.A.",485.0,6.1,48.2,102.2,328.5,2954.6,639.0,2086.4,229.1,AL,Huntsville
"Idaho Falls, ID M.S.A.",183.9,1.4,31.5,6.4,144.6,1822.8,342.1,1365.5,115.2,ID,Idaho Falls
"Indianapolis-Carmel-Anderson, IN M.S.A.",674.2,8.2,44.1,211.6,410.2,3207.8,703.3,2172.6,331.9,IN,Indianapolis
"Iowa City, IA M.S.A.",263.4,0.6,53.8,28.1,181.0,1981.6,359.5,1549.2,72.9,IA,Iowa City
"Jackson, MI M.S.A.",468.4,3.8,90.8,63.9,310.0,2271.9,370.7,1816.0,85.2,MI,Jackson
"Jackson, MS M.S.A.",359.4,11.6,31.0,152.7,164.1,2687.4,682.2,1778.0,227.2,MS,Jackson
"Jackson, TN M.S.A.",734.5,6.9,43.0,112.8,571.8,3067.1,848.1,2064.7,154.3,TN,Jackson
"Jacksonville, FL M.S.A.",493.7,7.5,44.4,110.1,331.7,2951.5,553.4,2203.5,194.5,FL,Jacksonville
"Jacksonville, NC M.S.A.",174.6,4.2,25.8,34.3,110.2,2539.2,663.9,1799.8,75.4,NC,Jacksonville
"Janesville-Beloit, WI M.S.A.",238.7,3.7,29.1,47.1,158.7,2347.4,392.4,1854.0,101.0,WI,Janesville
"Jefferson City, MO M.S.A.",258.7,1.3,31.8,38.4,187.2,1919.1,346.0,1469.9,103.2,MO,Jefferson City
"Johnson City, TN M.S.A.",302.0,5.5,19.8,30.3,246.5,2428.9,475.1,1851.2,102.7,TN,Johnson City
"Johnstown, PA M.S.A.",199.6,4.4,19.1,32.3,143.8,1633.9,292.0,1303.0,38.9,PA,Johnstown
"Jonesboro, AR M.S.A.",438.4,3.9,78.0,54.6,301.9,3292.9,772.3,2406.7,113.9,AR,Jonesboro
"Joplin, MO M.S.A.",331.3,5.1,52.8,60.1,213.3,3875.6,681.9,2853.4,340.4,MO,Joplin
"Kahului-Wailuku-Lahaina, HI M.S.A.",337.7,2.4,57.0,68.5,209.8,3641.0,610.6,2677.6,352.9,HI,Kahului
"Kalamazoo-Portage, MI M.S.A.",470.6,3.3,87.2,80.4,299.8,2508.8,534.9,1858.9,114.9,MI,Kalamazoo
"Kansas City, MO-KS M.S.A.",535.8,8.4,56.8,123.3,347.3,2945.2,557.4,1981.1,406.8,MO,Kansas City
"Kennewick-Richland, WA M.S.A.",182.3,2.9,36.0,27.5,116.0,2115.7,392.5,1602.2,121.0,WA,Kennewick
"Killeen-Temple, TX M.S.A.",339.5,5.6,67.4,63.5,203.0,2559.9,582.0,1855.2,122.8,TX,Killeen
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",317.7,3.6,36.4,31.2,246.5,2401.1,463.1,1772.8,165.2,TN,Bristol
"Kingston, NY M.S.A.",169.3,0.0,53.4,22.8,93.0,1496.6,227.7,1229.9,39.0,NY,Kingston
"Knoxville, TN M.S.A.",412.2,3.4,32.7,65.4,310.7,2904.4,600.8,2099.5,204.2,TN,Knoxville
"Kokomo, IN M.S.A.",579.7,3.6,30.1,96.4,449.5,2309.2,611.0,1598.1,100.0,IN,Kokomo
"La Crosse-Onalaska, WI-MN M.S.A.",116.5,1.5,21.1,13.8,80.1,2179.9,316.6,1808.0,55.3,WI,La Crosse
"Lafayette, LA M.S.A.",404.5,7.8,18.4,79.8,298.5,3146.1,668.8,2253.4,223.8,LA,Lafayette
"Lafayette-West Lafayette, IN M.S.A.",292.0,1.9,36.0,59.3,194.8,2509.3,503.6,1847.3,158.4,IN,Lafayette
"Lake Charles, LA M.S.A.2",628.6,4.4,63.1,95.3,465.9,4217.7,1503.7,2485.2,228.8,LA,Lake Charles
"Lake Havasu City-Kingman, AZ M.S.A.",201.0,2.0,26.9,27.9,144.2,2877.0,679.2,2027.7,170.2,AZ,Lake Havasu City
"Lakeland-Winter Haven, FL M.S.A.",339.7,3.9,33.1,59.1,243.6,2472.1,568.0,1733.2,170.9,FL,Lakeland
"Lancaster, PA M.S.A.",180.4,3.0,42.5,51.1,83.9,1422.0,212.1,1164.3,45.5,PA,Lancaster
"Lansing-East Lansing, MI M.S.A.",425.0,3.6,70.7,70.5,280.2,1873.3,423.5,1319.3,130.5,MI,Lansing
"Laredo, TX M.S.A.",385.6,2.9,54.2,61.9,266.5,3287.4,419.5,2746.9,120.9,TX,Laredo
"Las Cruces, NM M.S.A.",261.3,2.8,38.8,31.8,187.9,3085.5,561.4,2353.5,170.6,NM,Las Cruces
"Las Vegas-Henderson-Paradise, NV M.S.A.",815.0,6.9,63.3,273.0,471.8,2817.8,868.9,1499.1,449.7,NV,Las Vegas
"Lawton, OK M.S.A.",744.2,7.6,46.5,163.2,526.9,3636.9,1008.7,2422.3,205.9,OK,Lawton
"Lebanon, PA M.S.A.",185.4,2.9,18.3,31.4,132.9,1549.1,256.2,1208.2,84.7,PA,Lebanon
"Lewiston, ID-WA M.S.A.",213.8,6.4,54.3,28.7,124.5,3019.1,647.9,2176.6,194.7,ID,Lewiston
"Lewiston-Auburn, ME M.S.A.",138.0,0.0,39.2,28.9,69.9,1774.1,353.3,1349.9,70.9,ME,Lewiston
"Lexington-Fayette, KY M.S.A.",256.3,4.0,43.7,118.8,89.8,3487.4,698.2,2538.9,250.3,KY,Lexington
"Lima, OH M.S.A.",388.5,2.9,57.3,97.4,231.0,3369.8,815.2,2429.5,125.1,OH,Lima
